"Metabolite","VIP_comp1","FC_comp1","P_comp1","VIP_comp2","FC_comp2","P_comp2","VIP_comp3","FC_comp3","P_comp3"
"Indoxyl sulfate",2.22,2.47,"0.001",0.8,1.26,"0.372",2.29,1.96,"0.024"
"N-Phenylacetylglycine",1.89,2.09,"0.001",1.27,1.42,"0.056",1.37,1.47,"0.160"
"Taurine",1.58,1.75,"0.012",0.53,1.14,"0.400",1.67,1.53,"0.063"
"Alanine",1.29,1.53,"0.022",0.06,0.99,"0.882",1.85,1.55,"0.018"
"Acetylsalicylate",1.38,1.68,"0.028",1.62,1.54,"0.022",0.32,1.09,"0.987"
"Glutamine",1.15,1.48,"0.041",0.66,1.17,"0.335",0.95,1.26,"0.233"
"1-Methylnicotinamide",1.18,1.57,"0.079",1.82,1.63,"0.009",0.14,0.96,"0.668"
"Tyrosine",0.89,1.36,"0.079",0.23,0.95,"0.795",1.47,1.43,"0.042"
"Sucrose",1.4,0.41,"0.545",4.29,0.14,"0.010",2.28,2.84,"0.071"
